parent_compound_chembl_id,assay_chembl_id,target_chembl_id
CHEMBL2362016,CHEMBL935685,CHEMBL6035
CHEMBL2362016,CHEMBL935686,CHEMBL2403
CHEMBL2362016,CHEMBL935687,CHEMBL6035
CHEMBL2362016,CHEMBL936488,CHEMBL6035
CHEMBL2362016,CHEMBL931509,CHEMBL6035
CHEMBL2362016,CHEMBL931510,CHEMBL612545
CHEMBL2362016,CHEMBL931511,CHEMBL387
CHEMBL2362016,CHEMBL931512,CHEMBL387
CHEMBL2362016,CHEMBL931513,CHEMBL387
CHEMBL2362016,CHEMBL931514,CHEMBL1927
CHEMBL2362016,CHEMBL931515,CHEMBL2403
CHEMBL2362016,CHEMBL931516,CHEMBL2403
CHEMBL2362016,CHEMBL931517,CHEMBL2403
CHEMBL2362016,CHEMBL931518,CHEMBL6035
CHEMBL2362016,CHEMBL931519,CHEMBL6035
CHEMBL2362016,CHEMBL931520,CHEMBL6035
CHEMBL2362016,CHEMBL1614544,CHEMBL1293235
CHEMBL2362016,CHEMBL1697722,CHEMBL1697861
CHEMBL2362016,CHEMBL1697730,CHEMBL1697861
CHEMBL2362016,CHEMBL1794345,CHEMBL364
CHEMBL2362016,CHEMBL1794580,CHEMBL364
CHEMBL2362016,CHEMBL1909307,CHEMBL1697861
CHEMBL2362016,CHEMBL1909308,CHEMBL1697861
CHEMBL2362016,CHEMBL1909309,CHEMBL1697861
CHEMBL2362016,CHEMBL1909310,CHEMBL1697861
CHEMBL2362016,CHEMBL1909311,CHEMBL1697861
CHEMBL2362016,CHEMBL1909312,CHEMBL1697861
CHEMBL2362016,CHEMBL1909313,CHEMBL1697861
CHEMBL2362016,CHEMBL1909314,CHEMBL1697861
CHEMBL2362016,CHEMBL1909315,CHEMBL1697861
CHEMBL2362016,CHEMBL1909316,CHEMBL1697861
CHEMBL2362016,CHEMBL1909317,CHEMBL1697861
CHEMBL2362016,CHEMBL1909318,CHEMBL1697861
CHEMBL2362016,CHEMBL1909319,CHEMBL1697861
CHEMBL2362016,CHEMBL1909320,CHEMBL1697861
CHEMBL2362016,CHEMBL1964081,CHEMBL2007624
CHEMBL2362016,CHEMBL2354221,CHEMBL1075138
CHEMBL2362016,CHEMBL2354254,CHEMBL1075138
CHEMBL2362016,CHEMBL3215169,CHEMBL612545
CHEMBL2362016,CHEMBL3214913,CHEMBL612545
CHEMBL2362016,CHEMBL3214970,CHEMBL612545
CHEMBL2362016,CHEMBL3292697,CHEMBL383
CHEMBL2362016,CHEMBL3296163,CHEMBL383
CHEMBL2362016,CHEMBL3296164,CHEMBL3879801
CHEMBL2362016,CHEMBL3296165,CHEMBL399
CHEMBL2362016,CHEMBL3296166,CHEMBL395
CHEMBL2362016,CHEMBL3423582,CHEMBL3879801
CHEMBL2362016,CHEMBL4029349,CHEMBL372
CHEMBL2362016,CHEMBL4029350,CHEMBL372
CHEMBL2362016,CHEMBL4303805,CHEMBL4303835
CHEMBL2362016,CHEMBL4495582,CHEMBL4523582
CHEMBL2362016,CHEMBL4513082,CHEMBL4303835
CHEMBL1489,CHEMBL635477,CHEMBL2362975
CHEMBL1489,CHEMBL650218,CHEMBL2094118
CHEMBL1489,CHEMBL706081,CHEMBL386
CHEMBL1489,CHEMBL857778,CHEMBL386
CHEMBL1489,CHEMBL943089,CHEMBL2362975
CHEMBL1489,CHEMBL981345,CHEMBL384
CHEMBL1489,CHEMBL981347,CHEMBL384
CHEMBL1489,CHEMBL981348,CHEMBL384
CHEMBL1489,CHEMBL981349,CHEMBL384
CHEMBL1489,CHEMBL981350,CHEMBL389
CHEMBL1489,CHEMBL981351,CHEMBL389
CHEMBL1489,CHEMBL981352,CHEMBL389
CHEMBL1489,CHEMBL981353,CHEMBL389
CHEMBL1489,CHEMBL958085,CHEMBL612565
CHEMBL1489,CHEMBL958086,CHEMBL614515
CHEMBL1489,CHEMBL958087,CHEMBL3879801
CHEMBL1489,CHEMBL958088,CHEMBL387
CHEMBL1489,CHEMBL965574,CHEMBL1951
CHEMBL1489,CHEMBL965576,CHEMBL2039
CHEMBL1489,CHEMBL1266185,CHEMBL612545
CHEMBL1489,CHEMBL1614127,CHEMBL612545
CHEMBL1489,CHEMBL1614132,CHEMBL614696
CHEMBL1489,CHEMBL1614168,CHEMBL614696
CHEMBL1489,CHEMBL1614171,CHEMBL1293298
CHEMBL1489,CHEMBL1614310,CHEMBL1293235
CHEMBL1489,CHEMBL1614312,CHEMBL612545
CHEMBL1489,CHEMBL1614393,CHEMBL614696
CHEMBL1489,CHEMBL1614455,CHEMBL612545
CHEMBL1489,CHEMBL1614458,CHEMBL3577
CHEMBL1489,CHEMBL1614518,CHEMBL614696
CHEMBL1489,CHEMBL1614522,CHEMBL1293237
CHEMBL1489,CHEMBL1614528,CHEMBL614696
CHEMBL1489,CHEMBL1614530,CHEMBL2026
CHEMBL1489,CHEMBL1613785,CHEMBL614696
CHEMBL1489,CHEMBL1613789,CHEMBL612545
CHEMBL1489,CHEMBL1613791,CHEMBL612545
CHEMBL1489,CHEMBL1613805,CHEMBL2842
CHEMBL1489,CHEMBL1614263,CHEMBL612545
CHEMBL1489,CHEMBL1614267,CHEMBL612545
CHEMBL1489,CHEMBL1614274,CHEMBL3251
CHEMBL1489,CHEMBL1614329,CHEMBL614696
CHEMBL1489,CHEMBL1614349,CHEMBL614696
CHEMBL1489,CHEMBL1614404,CHEMBL4331
CHEMBL1489,CHEMBL1614477,CHEMBL614696
CHEMBL1489,CHEMBL1614544,CHEMBL1293235
CHEMBL1489,CHEMBL1613813,CHEMBL614696
CHEMBL1489,CHEMBL1613823,CHEMBL3251
CHEMBL1489,CHEMBL1613904,CHEMBL614696
CHEMBL1489,CHEMBL1613918,CHEMBL5514
CHEMBL1489,CHEMBL1613947,CHEMBL614696
CHEMBL1489,CHEMBL1613950,CHEMBL614696
CHEMBL1489,CHEMBL1613964,CHEMBL614696
CHEMBL1489,CHEMBL1613967,CHEMBL614696
CHEMBL1489,CHEMBL1613970,CHEMBL612545
CHEMBL1489,CHEMBL1613995,CHEMBL4096
CHEMBL1489,CHEMBL1613997,CHEMBL276
CHEMBL1489,CHEMBL1614008,CHEMBL614696
CHEMBL1489,CHEMBL1614009,CHEMBL2842
CHEMBL1489,CHEMBL1614049,CHEMBL614696
CHEMBL1489,CHEMBL1614053,CHEMBL614696
CHEMBL1489,CHEMBL1614067,CHEMBL1293237
CHEMBL1489,CHEMBL1614072,CHEMBL614696
CHEMBL1489,CHEMBL1614086,CHEMBL1293256
CHEMBL1489,CHEMBL1614092,CHEMBL614696
CHEMBL1489,CHEMBL1614097,CHEMBL614696
CHEMBL1489,CHEMBL1614100,CHEMBL612545
CHEMBL1489,CHEMBL1614211,CHEMBL5619
CHEMBL1489,CHEMBL1614215,CHEMBL614696
CHEMBL1489,CHEMBL1614216,CHEMBL614696
CHEMBL1489,CHEMBL1614218,CHEMBL612545
CHEMBL1489,CHEMBL1614231,CHEMBL614696
CHEMBL1489,CHEMBL1614293,CHEMBL2842
CHEMBL1489,CHEMBL1614356,CHEMBL614696
CHEMBL1489,CHEMBL1614362,CHEMBL612545
CHEMBL1489,CHEMBL1614425,CHEMBL614696
CHEMBL1489,CHEMBL1614435,CHEMBL614696
CHEMBL1489,CHEMBL1614486,CHEMBL614696
CHEMBL1489,CHEMBL1614492,CHEMBL614696
CHEMBL1489,CHEMBL1613838,CHEMBL1293294
CHEMBL1489,CHEMBL1613853,CHEMBL614696
CHEMBL1489,CHEMBL1613876,CHEMBL614696
CHEMBL1489,CHEMBL1613890,CHEMBL614696
CHEMBL1489,CHEMBL1613892,CHEMBL612545
CHEMBL1489,CHEMBL1613919,CHEMBL614696
CHEMBL1489,CHEMBL1613923,CHEMBL612545
CHEMBL1489,CHEMBL1613941,CHEMBL1293278
CHEMBL1489,CHEMBL1613942,CHEMBL614696
CHEMBL1489,CHEMBL1614034,CHEMBL1293256
CHEMBL1489,CHEMBL1614036,CHEMBL614696
CHEMBL1489,CHEMBL1614670,CHEMBL612558
CHEMBL1489,CHEMBL1614671,CHEMBL612558
CHEMBL1489,CHEMBL1614673,CHEMBL612558
CHEMBL1489,CHEMBL1614674,CHEMBL612558
CHEMBL1489,CHEMBL1697722,CHEMBL1697861
CHEMBL1489,CHEMBL1697730,CHEMBL1697861
CHEMBL1489,CHEMBL1697778,CHEMBL1697861
CHEMBL1489,CHEMBL1697779,CHEMBL1697861
CHEMBL1489,CHEMBL1697780,CHEMBL1697861
CHEMBL1489,CHEMBL1738312,CHEMBL1741220
CHEMBL1489,CHEMBL1738369,CHEMBL612545
CHEMBL1489,CHEMBL1614015,CHEMBL612545
CHEMBL1489,CHEMBL1738494,CHEMBL612545
CHEMBL1489,CHEMBL1738552,CHEMBL612545
CHEMBL1489,CHEMBL1738588,CHEMBL1741209
CHEMBL1489,CHEMBL1738636,CHEMBL1293278
CHEMBL1489,CHEMBL1738675,CHEMBL1741209
CHEMBL1489,CHEMBL1737868,CHEMBL1741209
CHEMBL1489,CHEMBL1737902,CHEMBL612545
CHEMBL1489,CHEMBL1737912,CHEMBL612545
CHEMBL1489,CHEMBL1737980,CHEMBL1075094
CHEMBL1489,CHEMBL1737994,CHEMBL612545
CHEMBL1489,CHEMBL1738317,CHEMBL1741209
CHEMBL1489,CHEMBL1738442,CHEMBL6032
CHEMBL1489,CHEMBL1738606,CHEMBL5501
CHEMBL1489,CHEMBL1614279,CHEMBL5686
CHEMBL1489,CHEMBL1614292,CHEMBL5686
CHEMBL1489,CHEMBL1794293,CHEMBL235
CHEMBL1489,CHEMBL1794364,CHEMBL206
CHEMBL1489,CHEMBL1794367,CHEMBL1795085
CHEMBL1489,CHEMBL1794371,CHEMBL2061
CHEMBL1489,CHEMBL1794308,CHEMBL614818
CHEMBL1489,CHEMBL1794321,CHEMBL1871
CHEMBL1489,CHEMBL1794375,CHEMBL612545
CHEMBL1489,CHEMBL1794376,CHEMBL1977
CHEMBL1489,CHEMBL1794380,CHEMBL614910
CHEMBL1489,CHEMBL1794382,CHEMBL2034
